timestamp,hour,dam_lmp,rtm_lmp,date,note
2026-05-23 00:00:00,0,28.36,28.24,2026-05-23,[PROXY DATA]
2026-05-23 01:00:00,1,12.9,12.32,2026-05-23,[PROXY DATA]
2026-05-23 02:00:00,2,22.33,22.67,2026-05-23,[PROXY DATA]
2026-05-23 03:00:00,3,32.84,29.9,2026-05-23,[PROXY DATA]
2026-05-23 04:00:00,4,11.75,11.4,2026-05-23,[PROXY DATA]
2026-05-23 05:00:00,5,11.75,11.05,2026-05-23,[PROXY DATA]
2026-05-23 06:00:00,6,36.87,37.82,2026-05-23,[PROXY DATA]
2026-05-23 07:00:00,7,29.37,32.07,2026-05-23,[PROXY DATA]
2026-05-23 08:00:00,8,16.77,16.05,2026-05-23,[PROXY DATA]
2026-05-23 09:00:00,9,31.15,34.5,2026-05-23,[PROXY DATA]
2026-05-23 10:00:00,10,12.36,11.91,2026-05-23,[PROXY DATA]
2026-05-23 11:00:00,11,12.33,11.26,2026-05-23,[PROXY DATA]
2026-05-23 12:00:00,12,20.82,15.3,2026-05-23,[PROXY DATA]
2026-05-23 13:00:00,13,-5.04,-2.8,2026-05-23,[PROXY DATA]
2026-05-23 14:00:00,14,-2.78,-3.17,2026-05-23,[PROXY DATA]
2026-05-23 15:00:00,15,24.61,34.52,2026-05-23,[PROXY DATA]
2026-05-23 16:00:00,16,28.17,28.68,2026-05-23,[PROXY DATA]
2026-05-23 17:00:00,17,53.05,42.41,2026-05-23,[PROXY DATA]
2026-05-23 18:00:00,18,31.66,28.39,2026-05-23,[PROXY DATA]
2026-05-23 19:00:00,19,12.17,11.32,2026-05-23,[PROXY DATA]
2026-05-23 20:00:00,20,37.75,46.7,2026-05-23,[PROXY DATA]
2026-05-23 21:00:00,21,16.33,17.19,2026-05-23,[PROXY DATA]
2026-05-23 22:00:00,22,18.73,19.78,2026-05-23,[PROXY DATA]
2026-05-23 23:00:00,23,-0.3,-0.27,2026-05-23,[PROXY DATA]
2026-05-24 00:00:00,0,15.87,14.37,2026-05-24,[PROXY DATA]
2026-05-24 01:00:00,1,15.89,16.68,2026-05-24,[PROXY DATA]
2026-05-24 02:00:00,2,0.75,0.72,2026-05-24,[PROXY DATA]
2026-05-24 03:00:00,3,19.07,22.45,2026-05-24,[PROXY DATA]
2026-05-24 04:00:00,4,7.35,6.89,2026-05-24,[PROXY DATA]
2026-05-24 05:00:00,5,11.06,3.65,2026-05-24,[PROXY DATA]
2026-05-24 06:00:00,6,10.7,10.22,2026-05-24,[PROXY DATA]
2026-05-24 07:00:00,7,42.39,34.67,2026-05-24,[PROXY DATA]
2026-05-24 08:00:00,8,22.24,23.42,2026-05-24,[PROXY DATA]
2026-05-24 09:00:00,9,11.95,12.44,2026-05-24,[PROXY DATA]
2026-05-24 10:00:00,10,27.79,30.41,2026-05-24,[PROXY DATA]
2026-05-24 11:00:00,11,3.27,3.04,2026-05-24,[PROXY DATA]
2026-05-24 12:00:00,12,20.43,20.0,2026-05-24,[PROXY DATA]
2026-05-24 13:00:00,13,-5.6,-5.17,2026-05-24,[PROXY DATA]
2026-05-24 14:00:00,14,1.98,1.99,2026-05-24,[PROXY DATA]
2026-05-24 15:00:00,15,33.72,40.66,2026-05-24,[PROXY DATA]
2026-05-24 16:00:00,16,49.18,52.14,2026-05-24,[PROXY DATA]
2026-05-24 17:00:00,17,51.34,52.65,2026-05-24,[PROXY DATA]
2026-05-24 18:00:00,18,41.17,46.85,2026-05-24,[PROXY DATA]
2026-05-24 19:00:00,19,25.51,19.7,2026-05-24,[PROXY DATA]
2026-05-24 20:00:00,20,2.42,2.49,2026-05-24,[PROXY DATA]
2026-05-24 21:00:00,21,10.4,10.56,2026-05-24,[PROXY DATA]
2026-05-24 22:00:00,22,12.39,10.23,2026-05-24,[PROXY DATA]
2026-05-24 23:00:00,23,29.49,28.26,2026-05-24,[PROXY DATA]
2026-05-25 00:00:00,0,32.12,31.8,2026-05-25,[PROXY DATA]
2026-05-25 01:00:00,1,-2.96,-2.44,2026-05-25,[PROXY DATA]
2026-05-25 02:00:00,2,22.09,19.78,2026-05-25,[PROXY DATA]
2026-05-25 03:00:00,3,13.58,14.87,2026-05-25,[PROXY DATA]
2026-05-25 04:00:00,4,10.08,10.97,2026-05-25,[PROXY DATA]
2026-05-25 05:00:00,5,25.54,23.13,2026-05-25,[PROXY DATA]
2026-05-25 06:00:00,6,34.77,34.58,2026-05-25,[PROXY DATA]
2026-05-25 07:00:00,7,36.38,31.86,2026-05-25,[PROXY DATA]
2026-05-25 08:00:00,8,17.93,16.1,2026-05-25,[PROXY DATA]
2026-05-25 09:00:00,9,27.09,28.91,2026-05-25,[PROXY DATA]
2026-05-25 10:00:00,10,26.38,27.38,2026-05-25,[PROXY DATA]
2026-05-25 11:00:00,11,34.11,35.76,2026-05-25,[PROXY DATA]
2026-05-25 12:00:00,12,16.65,16.98,2026-05-25,[PROXY DATA]
2026-05-25 13:00:00,13,20.17,17.39,2026-05-25,[PROXY DATA]
2026-05-25 14:00:00,14,9.12,8.67,2026-05-25,[PROXY DATA]
2026-05-25 15:00:00,15,24.85,22.41,2026-05-25,[PROXY DATA]
2026-05-25 16:00:00,16,60.15,68.92,2026-05-25,[PROXY DATA]
2026-05-25 17:00:00,17,77.87,75.01,2026-05-25,[PROXY DATA]
2026-05-25 18:00:00,18,52.34,38.74,2026-05-25,[PROXY DATA]
2026-05-25 19:00:00,19,48.44,59.16,2026-05-25,[PROXY DATA]
2026-05-25 20:00:00,20,29.54,25.71,2026-05-25,[PROXY DATA]
2026-05-25 21:00:00,21,16.06,21.17,2026-05-25,[PROXY DATA]
2026-05-25 22:00:00,22,26.74,25.97,2026-05-25,[PROXY DATA]
2026-05-25 23:00:00,23,39.46,34.98,2026-05-25,[PROXY DATA]
2026-05-26 00:00:00,0,27.57,23.51,2026-05-26,[PROXY DATA]
2026-05-26 01:00:00,1,36.98,40.82,2026-05-26,[PROXY DATA]
2026-05-26 02:00:00,2,-13.24,-15.0,2026-05-26,[PROXY DATA]
2026-05-26 03:00:00,3,28.06,33.92,2026-05-26,[PROXY DATA]
2026-05-26 04:00:00,4,19.24,21.05,2026-05-26,[PROXY DATA]
2026-05-26 05:00:00,5,14.61,14.77,2026-05-26,[PROXY DATA]
2026-05-26 06:00:00,6,23.5,32.1,2026-05-26,[PROXY DATA]
2026-05-26 07:00:00,7,1.35,1.29,2026-05-26,[PROXY DATA]
2026-05-26 08:00:00,8,25.36,22.71,2026-05-26,[PROXY DATA]
2026-05-26 09:00:00,9,35.09,29.15,2026-05-26,[PROXY DATA]
2026-05-26 10:00:00,10,40.13,40.07,2026-05-26,[PROXY DATA]
2026-05-26 11:00:00,11,16.18,14.66,2026-05-26,[PROXY DATA]
2026-05-26 12:00:00,12,12.7,12.76,2026-05-26,[PROXY DATA]
2026-05-26 13:00:00,13,16.38,15.38,2026-05-26,[PROXY DATA]
2026-05-26 14:00:00,14,33.38,30.75,2026-05-26,[PROXY DATA]
2026-05-26 15:00:00,15,43.15,47.05,2026-05-26,[PROXY DATA]
2026-05-26 16:00:00,16,44.04,28.65,2026-05-26,[PROXY DATA]
2026-05-26 17:00:00,17,67.76,80.09,2026-05-26,[PROXY DATA]
2026-05-26 18:00:00,18,54.36,53.74,2026-05-26,[PROXY DATA]
2026-05-26 19:00:00,19,48.02,45.8,2026-05-26,[PROXY DATA]
2026-05-26 20:00:00,20,16.78,19.4,2026-05-26,[PROXY DATA]
2026-05-26 21:00:00,21,19.87,17.61,2026-05-26,[PROXY DATA]
2026-05-26 22:00:00,22,17.69,16.31,2026-05-26,[PROXY DATA]
2026-05-26 23:00:00,23,3.44,3.33,2026-05-26,[PROXY DATA]
2026-05-27 00:00:00,0,31.55,25.97,2026-05-27,[PROXY DATA]
2026-05-27 01:00:00,1,21.33,22.1,2026-05-27,[PROXY DATA]
2026-05-27 02:00:00,2,18.26,16.24,2026-05-27,[PROXY DATA]
2026-05-27 03:00:00,3,15.38,12.33,2026-05-27,[PROXY DATA]
2026-05-27 04:00:00,4,1.22,1.34,2026-05-27,[PROXY DATA]
2026-05-27 05:00:00,5,13.15,12.69,2026-05-27,[PROXY DATA]
2026-05-27 06:00:00,6,18.29,14.87,2026-05-27,[PROXY DATA]
2026-05-27 07:00:00,7,15.57,17.12,2026-05-27,[PROXY DATA]
2026-05-27 08:00:00,8,26.06,28.23,2026-05-27,[PROXY DATA]
2026-05-27 09:00:00,9,35.65,40.62,2026-05-27,[PROXY DATA]
2026-05-27 10:00:00,10,45.03,47.91,2026-05-27,[PROXY DATA]
2026-05-27 11:00:00,11,24.49,25.75,2026-05-27,[PROXY DATA]
2026-05-27 12:00:00,12,25.49,25.36,2026-05-27,[PROXY DATA]
2026-05-27 13:00:00,13,21.51,18.67,2026-05-27,[PROXY DATA]
2026-05-27 14:00:00,14,-0.63,-0.47,2026-05-27,[PROXY DATA]
2026-05-27 15:00:00,15,38.88,40.52,2026-05-27,[PROXY DATA]
2026-05-27 16:00:00,16,51.12,22.6,2026-05-27,[PROXY DATA]
2026-05-27 17:00:00,17,91.16,94.47,2026-05-27,[PROXY DATA]
2026-05-27 18:00:00,18,50.89,44.62,2026-05-27,[PROXY DATA]
2026-05-27 19:00:00,19,40.02,36.33,2026-05-27,[PROXY DATA]
2026-05-27 20:00:00,20,24.78,25.5,2026-05-27,[PROXY DATA]
2026-05-27 21:00:00,21,9.78,12.16,2026-05-27,[PROXY DATA]
2026-05-27 22:00:00,22,36.11,40.74,2026-05-27,[PROXY DATA]
2026-05-27 23:00:00,23,30.02,31.43,2026-05-27,[PROXY DATA]
2026-05-28 00:00:00,0,37.49,29.63,2026-05-28,[PROXY DATA]
2026-05-28 01:00:00,1,7.29,7.58,2026-05-28,[PROXY DATA]
2026-05-28 02:00:00,2,35.03,36.37,2026-05-28,[PROXY DATA]
2026-05-28 03:00:00,3,1.38,1.66,2026-05-28,[PROXY DATA]
2026-05-28 04:00:00,4,25.24,27.48,2026-05-28,[PROXY DATA]
2026-05-28 05:00:00,5,44.49,48.24,2026-05-28,[PROXY DATA]
2026-05-28 06:00:00,6,10.51,12.33,2026-05-28,[PROXY DATA]
2026-05-28 07:00:00,7,18.4,14.3,2026-05-28,[PROXY DATA]
2026-05-28 08:00:00,8,29.2,21.04,2026-05-28,[PROXY DATA]
2026-05-28 09:00:00,9,24.76,31.38,2026-05-28,[PROXY DATA]
2026-05-28 10:00:00,10,3.79,3.17,2026-05-28,[PROXY DATA]
2026-05-28 11:00:00,11,23.22,20.36,2026-05-28,[PROXY DATA]
2026-05-28 12:00:00,12,9.65,12.45,2026-05-28,[PROXY DATA]
2026-05-28 13:00:00,13,28.08,36.18,2026-05-28,[PROXY DATA]
2026-05-28 14:00:00,14,11.37,10.15,2026-05-28,[PROXY DATA]
