timestamp,Actual_MW,Theoretical_MW,PML_USD
2026-02-01 00:00:00,0.0,0.0,38.73
2026-02-01 00:15:00,0.0,0.0,39.27
2026-02-01 00:30:00,0.0,0.0,36.17
2026-02-01 00:45:00,0.0,0.0,38.49
2026-02-01 01:00:00,0.0,0.0,36.63
2026-02-01 01:15:00,0.0,0.0,33.38
2026-02-01 01:30:00,0.0,0.0,34.95
2026-02-01 01:45:00,0.0,0.0,34.67
2026-02-01 02:00:00,0.0,0.0,31.32
2026-02-01 02:15:00,0.0,0.0,30.61
2026-02-01 02:30:00,0.0,0.0,30.42
2026-02-01 02:45:00,0.0,0.0,31.36
2026-02-01 03:00:00,0.0,0.0,30.79
2026-02-01 03:15:00,0.0,0.0,30.55
2026-02-01 03:30:00,0.0,0.0,28.27
2026-02-01 03:45:00,0.0,0.0,33.21
2026-02-01 04:00:00,0.0,0.0,398.29
2026-02-01 04:15:00,0.0,0.0,26.78
2026-02-01 04:30:00,0.0,0.0,27.97
2026-02-01 04:45:00,0.0,0.0,399.83
2026-02-01 05:00:00,0.0,0.0,31.32
2026-02-01 05:15:00,0.0,0.0,31.63
2026-02-01 05:30:00,0.0,0.0,32.75
2026-02-01 05:45:00,0.0,0.0,32.12
2026-02-01 06:00:00,0.0,0.0,34.36
2026-02-01 06:15:00,0.0,0.0,34.01
2026-02-01 06:30:00,0.0,0.0,35.93
2026-02-01 06:45:00,0.0,0.0,34.61
2026-02-01 07:00:00,0.0,0.0,35.56
2026-02-01 07:15:00,0.15,0.16,35.54
2026-02-01 07:30:00,4.63,4.79,39.15
2026-02-01 07:45:00,10.61,11.27,40.39
2026-02-01 08:00:00,14.77,16.45,42.2
2026-02-01 08:15:00,22.82,24.01,42.5
2026-02-01 08:30:00,28.46,30.87,42.78
2026-02-01 08:45:00,33.47,35.84,44.66
2026-02-01 09:00:00,40.38,44.74,44.27
2026-02-01 09:15:00,46.57,52.48,47.99
2026-02-01 09:30:00,44.83,57.32,46.22
2026-02-01 09:45:00,58.03,64.08,48.83
2026-02-01 10:00:00,64.71,71.7,52.87
2026-02-01 10:15:00,64.93,72.68,51.48
2026-02-01 10:30:00,80.01,83.28,55.86
2026-02-01 10:45:00,77.16,81.26,56.39
2026-02-01 11:00:00,83.18,90.15,59.48
2026-02-01 11:15:00,81.69,88.11,61.87
2026-02-01 11:30:00,86.62,91.1,63.14
2026-02-01 11:45:00,84.1,94.73,61.56
2026-02-01 12:00:00,84.88,95.26,60.78
2026-02-01 12:15:00,83.78,93.08,68.58
2026-02-01 12:30:00,81.98,84.68,66.51
2026-02-01 12:45:00,79.74,90.03,69.53
2026-02-01 13:00:00,75.39,85.61,65.48
2026-02-01 13:15:00,74.88,80.93,67.11
2026-02-01 13:30:00,78.7,81.19,68.43
2026-02-01 13:45:00,68.35,75.87,71.1
2026-02-01 14:00:00,60.38,66.49,68.38
2026-02-01 14:15:00,62.68,67.49,75.0
2026-02-01 14:30:00,55.3,59.42,74.37
2026-02-01 14:45:00,45.34,51.3,73.09
2026-02-01 15:00:00,43.77,45.74,76.14
2026-02-01 15:15:00,36.11,38.1,74.6
2026-02-01 15:30:00,29.59,32.76,78.04
2026-02-01 15:45:00,22.48,24.42,75.62
2026-02-01 16:00:00,16.02,16.86,74.79
2026-02-01 16:15:00,10.05,10.98,73.99
2026-02-01 16:30:00,4.5,4.92,75.54
2026-02-01 16:45:00,0.14,0.15,73.1
2026-02-01 17:00:00,0.0,0.0,73.54
2026-02-01 17:15:00,0.0,0.0,71.31
2026-02-01 17:30:00,0.0,0.0,75.73
2026-02-01 17:45:00,0.0,0.0,70.65
2026-02-01 18:00:00,0.0,0.0,75.03
2026-02-01 18:15:00,0.0,0.0,69.94
2026-02-01 18:30:00,0.0,0.0,66.0
2026-02-01 18:45:00,0.0,0.0,68.81
2026-02-01 19:00:00,0.0,0.0,67.37
2026-02-01 19:15:00,0.0,0.0,65.69
2026-02-01 19:30:00,0.0,0.0,62.46
2026-02-01 19:45:00,0.0,0.0,64.35
2026-02-01 20:00:00,0.0,0.0,64.88
2026-02-01 20:15:00,0.0,0.0,61.09
2026-02-01 20:30:00,0.0,0.0,61.07
2026-02-01 20:45:00,0.0,0.0,60.34
2026-02-01 21:00:00,0.0,0.0,58.99
2026-02-01 21:15:00,0.0,0.0,443.52
2026-02-01 21:30:00,0.0,0.0,54.82
2026-02-01 21:45:00,0.0,0.0,55.8
2026-02-01 22:00:00,0.0,0.0,51.87
2026-02-01 22:15:00,0.0,0.0,45.11
2026-02-01 22:30:00,0.0,0.0,49.13
2026-02-01 22:45:00,0.0,0.0,47.87
2026-02-01 23:00:00,0.0,0.0,44.52
2026-02-01 23:15:00,0.0,0.0,44.11
2026-02-01 23:30:00,0.0,0.0,42.71
2026-02-01 23:45:00,0.0,0.0,45.05
2026-02-02 00:00:00,0.0,0.0,40.12
2026-02-02 00:15:00,0.0,0.0,41.08
2026-02-02 00:30:00,0.0,0.0,39.11
2026-02-02 00:45:00,0.0,0.0,37.03
2026-02-02 01:00:00,0.0,0.0,35.95
2026-02-02 01:15:00,0.0,0.0,35.28
2026-02-02 01:30:00,0.0,0.0,35.99
2026-02-02 01:45:00,0.0,0.0,33.45
2026-02-02 02:00:00,0.0,0.0,29.78
2026-02-02 02:15:00,0.0,0.0,30.2
2026-02-02 02:30:00,0.0,0.0,31.13
2026-02-02 02:45:00,0.0,0.0,31.74
2026-02-02 03:00:00,0.0,0.0,27.7
2026-02-02 03:15:00,0.0,0.0,32.62
2026-02-02 03:30:00,0.0,0.0,418.77
2026-02-02 03:45:00,0.0,0.0,425.14
2026-02-02 04:00:00,0.0,0.0,28.16
2026-02-02 04:15:00,0.0,0.0,26.67
2026-02-02 04:30:00,0.0,0.0,30.13
2026-02-02 04:45:00,0.0,0.0,30.05
2026-02-02 05:00:00,0.0,0.0,29.55
2026-02-02 05:15:00,0.0,0.0,28.67
2026-02-02 05:30:00,0.0,0.0,33.83
2026-02-02 05:45:00,0.0,0.0,31.63
2026-02-02 06:00:00,0.0,0.0,31.74
2026-02-02 06:15:00,0.0,0.0,419.93
2026-02-02 06:30:00,0.0,0.0,34.13
2026-02-02 06:45:00,0.0,0.0,34.65
2026-02-02 07:00:00,0.0,0.0,34.95
2026-02-02 07:15:00,0.26,0.28,36.63
2026-02-02 07:30:00,4.78,5.23,36.02
2026-02-02 07:45:00,9.97,11.24,36.94
2026-02-02 08:00:00,14.9,16.85,40.76
2026-02-02 08:15:00,22.3,23.41,41.72
2026-02-02 08:30:00,28.24,30.56,43.59
2026-02-02 08:45:00,33.55,36.86,44.13
2026-02-02 09:00:00,27.59,45.43,42.88
2026-02-02 09:15:00,46.39,50.38,45.89
2026-02-02 09:30:00,50.04,56.4,49.28
2026-02-02 09:45:00,56.78,62.49,51.05
2026-02-02 10:00:00,60.27,68.44,49.13
2026-02-02 10:15:00,70.11,72.86,53.76
2026-02-02 10:30:00,77.49,80.65,55.76
2026-02-02 10:45:00,71.65,80.47,56.24
2026-02-02 11:00:00,83.91,88.38,57.61
2026-02-02 11:15:00,59.79,85.03,60.18
2026-02-02 11:30:00,85.31,90.98,60.15
2026-02-02 11:45:00,86.1,88.95,62.32
2026-02-02 12:00:00,85.71,92.59,63.45
2026-02-02 12:15:00,80.23,88.69,64.13
2026-02-02 12:30:00,79.84,90.29,64.54
2026-02-02 12:45:00,84.94,90.34,66.93
2026-02-02 13:00:00,80.87,84.19,65.67
2026-02-02 13:15:00,73.82,78.81,69.82
2026-02-02 13:30:00,72.75,78.85,71.37
2026-02-02 13:45:00,67.88,72.57,72.97
2026-02-02 14:00:00,65.56,67.63,434.34
2026-02-02 14:15:00,58.52,63.12,72.47
2026-02-02 14:30:00,51.7,55.29,73.66
2026-02-02 14:45:00,50.68,52.47,450.32
2026-02-02 15:00:00,41.53,43.82,72.66
2026-02-02 15:15:00,34.8,36.73,74.31
2026-02-02 15:30:00,29.05,32.3,74.15
2026-02-02 15:45:00,13.57,23.74,75.99
2026-02-02 16:00:00,16.48,17.55,73.11
2026-02-02 16:15:00,10.66,11.22,75.43
2026-02-02 16:30:00,4.87,5.17,72.6
2026-02-02 16:45:00,0.28,0.3,74.68
2026-02-02 17:00:00,0.0,0.0,73.78
2026-02-02 17:15:00,0.0,0.0,72.0
2026-02-02 17:30:00,0.0,0.0,75.68
2026-02-02 17:45:00,0.0,0.0,72.36
2026-02-02 18:00:00,0.0,0.0,434.6
2026-02-02 18:15:00,0.0,0.0,70.29
2026-02-02 18:30:00,0.0,0.0,74.43
2026-02-02 18:45:00,0.0,0.0,70.11
2026-02-02 19:00:00,0.0,0.0,380.19
2026-02-02 19:15:00,0.0,0.0,68.17
2026-02-02 19:30:00,0.0,0.0,66.39
2026-02-02 19:45:00,0.0,0.0,64.46
2026-02-02 20:00:00,0.0,0.0,63.66
2026-02-02 20:15:00,0.0,0.0,63.08
2026-02-02 20:30:00,0.0,0.0,60.12
2026-02-02 20:45:00,0.0,0.0,61.68
2026-02-02 21:00:00,0.0,0.0,54.46
2026-02-02 21:15:00,0.0,0.0,57.04
2026-02-02 21:30:00,0.0,0.0,54.34
2026-02-02 21:45:00,0.0,0.0,55.41
2026-02-02 22:00:00,0.0,0.0,49.95
2026-02-02 22:15:00,0.0,0.0,49.59
2026-02-02 22:30:00,0.0,0.0,48.81
2026-02-02 22:45:00,0.0,0.0,45.62
2026-02-02 23:00:00,0.0,0.0,43.87
2026-02-02 23:15:00,0.0,0.0,43.53
2026-02-02 23:30:00,0.0,0.0,40.22
2026-02-02 23:45:00,0.0,0.0,42.73
2026-02-03 00:00:00,0.0,0.0,38.97
2026-02-03 00:15:00,0.0,0.0,38.82
